Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,rater_position,response_ratings,position_conf,position_conf_num
6,1659976250864,08/08/2022 16:30:50,6895846,2,4,Somewhat Agree,statements,8,Most months,Most months,20,Male,A levels,2,Against,there are negative side effects,Pro,5,NA,NA
7,1659976252350,08/08/2022 16:30:52,6895846,2,5,Strongly Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",2,For,The vaccines are safe enough to use,Pro,7,NA,NA
8,1659976255012,08/08/2022 16:30:55,6895846,2,6,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,Against,The covid 19 vaccines are a conspiracy,Pro,1,NA,NA
9,1659976261019,08/08/2022 16:31:01,6895846,2,7,Somewhat Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,For,Many people have got it and have survived,Pro,5,NA,NA
10,1659976273162,08/08/2022 16:31:13,6895846,2,8,Disagree,statements,8,Most months,Most months,20,Male,A levels,3,Against,I'm young and healthy so why should I get vaccinated?,Pro,2,NA,NA
11,1659976276418,08/08/2022 16:31:16,6895846,2,9,Somewhat Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",3,For,I want to reduce the risk of myself catching the virus at work,Pro,5,NA,NA
12,1659976279531,08/08/2022 16:31:19,6895846,2,10,Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,Against,I believe that the vaccine is ineffective or rushed,Pro,2,NA,NA
13,1659976282505,08/08/2022 16:31:22,6895846,2,11,Strongly Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,3,Against,Unless everyone has it then what is the point,Pro,1,NA,NA
14,1659976284393,08/08/2022 16:31:24,6895846,2,12,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",3,Against,The vaccines don't work and will not be affective,Pro,1,NA,NA
15,1659976285786,08/08/2022 16:31:25,6895846,2,13,Strongly Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,For,Doctors are trying to help,Pro,7,NA,NA
16,1659976300028,08/08/2022 16:31:40,6895846,2,14,Agree,statements,6,Rarely,Most days,34,Male,GCSEs,1,For,I am scared and if this vaccine will help then I'll do it,Pro,6,NA,NA
17,1659976301300,08/08/2022 16:31:41,6895846,2,15,Strongly Agree,statements,3,Rarely,A few times a year,55,Female,A levels,2,For,I want to help society,Pro,7,NA,NA
18,1659976305895,08/08/2022 16:31:45,6895846,2,16,Neither Agree nor Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,For,It's one of the only ways we will return to normal life,Pro,4,NA,NA
19,1659976310045,08/08/2022 16:31:50,6895846,2,17,Strongly Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",3,Against,I'm a healthy young adult and I'd rather they give my dose to someone else who is more vulnerable,Pro,7,NA,NA
20,1659976312825,08/08/2022 16:31:52,6895846,2,18,Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",2,For,I am aware of the risks and complications of contracting xovid 19 and wish to protect myself and others,Pro,6,NA,NA
21,1659976314806,08/08/2022 16:31:54,6895846,2,19,Agree,statements,3,Rarely,A few times a year,55,Female,A levels,1,For,I want to have it for my own and my familyâs protection,Pro,6,NA,NA
22,1659976317354,08/08/2022 16:31:57,6895846,2,20,Somewhat Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,For,It's essential to be vaccinated to regain normality.,Pro,5,NA,NA
23,1659976318780,08/08/2022 16:31:58,6895846,2,21,Strongly Agree,statements,3,Rarely,A few times a year,55,Female,A levels,3,For,I want to help in defeating this virus,Pro,7,NA,NA
24,1659976320316,08/08/2022 16:32:00,6895846,2,22,Strongly Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",2,For,Reduced risk of passing on COVID.,Pro,7,NA,NA
25,1659976323261,08/08/2022 16:32:03,6895846,2,23,Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,Against,The risks of side effects to su h as blood clots with vaccines are too high.,Pro,2,NA,NA
26,1659976325853,08/08/2022 16:32:05,6895846,2,24,Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",1,Against,"Concerns about dangerous side effects, such as blood clots and neurological damage.",Pro,2,NA,NA
27,1659976328320,08/08/2022 16:32:08,6895846,2,25,Strongly Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",2,Against,I don't want any of the side effects on me or my family,Pro,1,NA,NA
28,1659976330406,08/08/2022 16:32:10,6895846,2,26,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",2,Against,The vaccines are not safe enough yet,Pro,1,NA,NA
29,1659976363699,08/08/2022 16:32:43,6895846,2,27,Neither Agree nor Disagree,statements,8,Most months,Most months,20,Male,A levels,3,For,To help end the negative social impact of the virus such as lockdowns and online education,Pro,4,NA,NA
30,1659976365450,08/08/2022 16:32:45,6895846,2,28,Somewhat Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",2,Against,"The outcomes of the virus are not significant for that person, therefore the risk of the vaccine is greater than the risk of covid 19 side effects",Pro,5,NA,NA
31,1659976366975,08/08/2022 16:32:46,6895846,2,29,Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",2,For,I want to protect my family and be able to see them again,Pro,6,NA,NA
32,1659976369796,08/08/2022 16:32:49,6895846,2,30,Somewhat Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",2,Against,Concerns about the truthfulness of the pandemic and the true motivations behind mass vaccination.,Pro,3,NA,NA
33,1659976372502,08/08/2022 16:32:52,6895846,2,31,Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,Against,It's not qualified or tested enough,Pro,2,NA,NA
34,1659976375157,08/08/2022 16:32:55,6895846,2,32,Strongly Agree,statements,6,Rarely,Most days,34,Male,GCSEs,2,For,"A member of my family can catch anything really easily , so I want to do this to help keep them safe",Pro,7,NA,NA
35,1659976376144,08/08/2022 16:32:56,6895846,2,33,Strongly Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",1,For,It's the right thing to do to protect everyone else,Pro,7,NA,NA
36,1659976378663,08/08/2022 16:32:58,6895846,2,34,Somewhat Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,1,Against,They have herd there could be side effects,Pro,3,NA,NA
37,1659976380506,08/08/2022 16:33:00,6895846,2,35,Strongly Agree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,For,"Vaccines are important, they help us all live safely and healthily",Pro,7,NA,NA
39,1659976400811,08/08/2022 16:33:20,6895846,2,37,Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,2,Against,Future side effects are unknown,Pro,2,NA,NA
40,1659976419288,08/08/2022 16:33:39,6895846,2,38,Strongly Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",3,Against,Concerns about fertility and the population control conspiracy.,Pro,1,NA,NA
41,1659976420798,08/08/2022 16:33:40,6895846,2,39,Strongly Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,Against,I think that the vaccine is fake,Pro,1,NA,NA
42,1659976423152,08/08/2022 16:33:43,6895846,2,40,Somewhat Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",1,Against,"It was developed too quickly, I think they should have taken more time on it",Pro,5,NA,NA
43,1659976425895,08/08/2022 16:33:45,6895846,2,41,Disagree,statements,8,Most months,Most months,20,Male,A levels,2,For,To protect others by giving herd immunity.,Pro,2,NA,NA
44,1659976427107,08/08/2022 16:33:47,6895846,2,42,Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",3,Against,They are unsafe and can cause long-term effects.,Pro,2,NA,NA
45,1659976429209,08/08/2022 16:33:49,6895846,2,43,Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",3,For,Being vaccinated is reassuring,Pro,6,NA,NA
46,1659976435206,08/08/2022 16:33:55,6895846,2,44,Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",1,For,Reduced risk of getting COVID.,Pro,6,NA,NA
47,1659976437726,08/08/2022 16:33:57,6895846,2,45,Somewhat Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",1,Against,They believe we have not had enough time to develop an effective vaccine.,Pro,3,NA,NA
48,1659976440005,08/08/2022 16:34:00,6895846,2,46,Somewhat Agree,statements,6,Rarely,Most days,34,Male,GCSEs,3,For,Alot of people have died from getting Covid and I want to keep my self safe and I trust it,Pro,5,NA,NA
49,1659976441607,08/08/2022 16:34:01,6895846,2,47,Strongly Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,Against,The government is trying to control us through this vaccine,Pro,1,NA,NA
50,1659976444578,08/08/2022 16:34:04,6895846,2,48,Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",1,Against,Do not want to be used as a government experiment - there has not been enough testing and the safety is not known.,Pro,2,NA,NA
51,1659976447311,08/08/2022 16:34:07,6895846,2,49,Somewhat Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,3,Against,I am scared and I don't believe that the Vaccine will help me,Pro,3,NA,NA
52,1659976449743,08/08/2022 16:34:09,6895846,2,50,Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,Against,There are too many on the market at the moment,Pro,2,NA,NA
53,1659976451324,08/08/2022 16:34:11,6895846,2,51,Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,For,More vaccinations will hopefully mean less admissions and deaths and less pressure on the nhs,Pro,2,NA,NA
54,1659976452875,08/08/2022 16:34:12,6895846,2,52,Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,For,It's important to protect the people you love who are a higher risk than you,Pro,2,NA,NA
55,1659976454717,08/08/2022 16:34:14,6895846,2,53,Strongly Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",2,Against,The vaccines contain trackers that allow the government to control us.,Pro,1,NA,NA
56,1659976456244,08/08/2022 16:34:16,6895846,2,54,Strongly Disagree,statements,8,Most months,Most months,20,Male,A levels,1,Against,The government is trying to microchip me,Pro,1,NA,NA
57,1659976457899,08/08/2022 16:34:17,6895846,2,55,Strongly Agree,statements,8,Most months,Most months,20,Male,A levels,1,For,To gain immunity against COVID 19.,Pro,7,NA,NA
58,1659976477122,08/08/2022 16:34:37,6895846,2,56,Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",2,For,It will help to protect the most vulnerable groups in our society.,Pro,6,NA,NA
59,1659976478878,08/08/2022 16:34:38,6895846,2,57,Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",1,For,It is the only way we can effectively eliminate the virus from the world.,Pro,6,NA,NA
60,1659976482206,08/08/2022 16:34:42,6895846,2,58,Strongly Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",3,For,The risk of dying from covid reduces with a vaccine.,Pro,7,NA,NA
61,1659976484805,08/08/2022 16:34:44,6895846,2,59,Strongly Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,2,Against,Someone has told me there experience is bad which has now put me of the idear,Pro,1,NA,NA
62,1659976513478,08/08/2022 16:35:13,6895846,2,60,Strongly Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",1,For,They wish for life to return to normal and the best way to achieve this is maximum uptake,Pro,7,NA,NA
63,1659976515513,08/08/2022 16:35:15,6895846,2,61,Strongly Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,For,It's been tried and tested and has been approved by many doctors around the world,Pro,7,NA,NA
64,1659976517126,08/08/2022 16:35:17,6895846,2,62,Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,1,Against,Hasn't been tested for long enough,Pro,2,NA,NA
3,1659976311081,08/08/2022 16:31:51,6895849,2,1,Somewhat Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,2,Against,Someone has told me there experience is bad which has now put me of the idear,Pro,3,NA,NA
4,1659976318514,08/08/2022 16:31:58,6895849,2,2,Somewhat Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",2,Against,Concerns about the truthfulness of the pandemic and the true motivations behind mass vaccination.,Pro,3,NA,NA
5,1659976322580,08/08/2022 16:32:02,6895849,2,3,Somewhat Agree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,For,"Vaccines are important, they help us all live safely and healthily",Pro,5,NA,NA
6,1659976328231,08/08/2022 16:32:08,6895849,2,4,Neither Agree nor Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",1,Against,Do not want to be used as a government experiment - there has not been enough testing and the safety is not known.,Pro,4,NA,NA
7,1659976331489,08/08/2022 16:32:11,6895849,2,5,Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,Against,I think that the vaccine is fake,Pro,2,NA,NA
8,1659976335936,08/08/2022 16:32:15,6895849,2,6,Somewhat Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,Against,There are too many on the market at the moment,Pro,3,NA,NA
9,1659976342778,08/08/2022 16:32:22,6895849,2,7,Somewhat Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",3,For,Less restrictions on behaviour due to immunity.,Pro,3,NA,NA
10,1659976348305,08/08/2022 16:32:28,6895849,2,8,Somewhat Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,For,It's been tried and tested and has been approved by many doctors around the world,Pro,5,NA,NA
11,1659976350972,08/08/2022 16:32:30,6895849,2,9,Somewhat Agree,statements,8,Most months,Most months,20,Male,A levels,2,For,To protect others by giving herd immunity.,Pro,5,NA,NA
12,1659976354604,08/08/2022 16:32:34,6895849,2,10,Somewhat Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",1,Against,"Concerns about dangerous side effects, such as blood clots and neurological damage.",Pro,5,NA,NA
13,1659976359027,08/08/2022 16:32:39,6895849,2,11,Somewhat Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",2,For,I am aware of the risks and complications of contracting xovid 19 and wish to protect myself and others,Pro,5,NA,NA
14,1659976362194,08/08/2022 16:32:42,6895849,2,12,Disagree,statements,8,Most months,Most months,20,Male,A levels,1,Against,The government is trying to microchip me,Pro,2,NA,NA
15,1659976365445,08/08/2022 16:32:45,6895849,2,13,Somewhat Agree,statements,8,Most months,Most months,20,Male,A levels,2,Against,there are negative side effects,Pro,5,NA,NA
16,1659976371034,08/08/2022 16:32:51,6895849,2,14,Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,For,More vaccinations will hopefully mean less admissions and deaths and less pressure on the nhs,Pro,6,NA,NA
17,1659976377636,08/08/2022 16:32:57,6895849,2,15,Somewhat Agree,statements,6,Rarely,Most days,34,Male,GCSEs,1,Against,They have herd there could be side effects,Pro,5,NA,NA
18,1659976381077,08/08/2022 16:33:01,6895849,2,16,Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",1,For,It is the only way we can effectively eliminate the virus from the world.,Pro,6,NA,NA
19,1659976384325,08/08/2022 16:33:04,6895849,2,17,Somewhat Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",3,For,Being vaccinated is reassuring,Pro,5,NA,NA
20,1659976386536,08/08/2022 16:33:06,6895849,2,18,Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,For,Doctors are trying to help,Pro,6,NA,NA
21,1659976388134,08/08/2022 16:33:08,6895849,2,19,Agree,statements,3,Rarely,A few times a year,55,Female,A levels,2,For,I want to help society,Pro,6,NA,NA
22,1659976390968,08/08/2022 16:33:10,6895849,2,20,Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,For,It's essential to be vaccinated to regain normality.,Pro,6,NA,NA
23,1659976393120,08/08/2022 16:33:13,6895849,2,21,Agree,statements,3,Rarely,A few times a year,55,Female,A levels,3,For,I want to help in defeating this virus,Pro,6,NA,NA
24,1659976398249,08/08/2022 16:33:18,6895849,2,22,Agree,statements,8,Most months,Most months,20,Male,A levels,1,For,To gain immunity against COVID 19.,Pro,6,NA,NA
25,1659976402125,08/08/2022 16:33:22,6895849,2,23,Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",1,For,They wish for life to return to normal and the best way to achieve this is maximum uptake,Pro,6,NA,NA
26,1659976406416,08/08/2022 16:33:26,6895849,2,24,Somewhat Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",3,Against,Concerns about fertility and the population control conspiracy.,Pro,3,NA,NA
27,1659976410800,08/08/2022 16:33:30,6895849,2,25,Neither Agree nor Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,For,Many people have got it and have survived,Pro,4,NA,NA
28,1659976415686,08/08/2022 16:33:35,6895849,2,26,Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",3,For,I want to reduce the risk of myself catching the virus at work,Pro,6,NA,NA
30,1659976427709,08/08/2022 16:33:47,6895849,2,28,Neither Agree nor Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",3,Against,They are unsafe and can cause long-term effects.,Pro,4,NA,NA
31,1659976436586,08/08/2022 16:33:56,6895849,2,29,Neither Agree nor Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,Against,The risks of side effects to su h as blood clots with vaccines are too high.,Pro,4,NA,NA
32,1659976441856,08/08/2022 16:34:01,6895849,2,30,Agree,statements,6,Rarely,Most days,34,Male,GCSEs,2,For,"A member of my family can catch anything really easily , so I want to do this to help keep them safe",Pro,6,NA,NA
33,1659976446671,08/08/2022 16:34:06,6895849,2,31,Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",2,Against,I don't want any of the side effects on me or my family,Pro,6,NA,NA
34,1659976450614,08/08/2022 16:34:10,6895849,2,32,Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",2,Against,The vaccines contain trackers that allow the government to control us.,Pro,2,NA,NA
35,1659976455057,08/08/2022 16:34:15,6895849,2,33,Neither Agree nor Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,1,Against,Hasn't been tested for long enough,Pro,4,NA,NA
36,1659976457687,08/08/2022 16:34:17,6895849,2,34,Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",2,For,Reduced risk of passing on COVID.,Pro,6,NA,NA
37,1659976462290,08/08/2022 16:34:22,6895849,2,35,Somewhat Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,3,Against,I am scared and I don't believe that the Vaccine will help me,Pro,3,NA,NA
38,1659976465149,08/08/2022 16:34:25,6895849,2,36,Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",1,For,It's the right thing to do to protect everyone else,Pro,6,NA,NA
39,1659976468711,08/08/2022 16:34:28,6895849,2,37,Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",3,For,The risk of dying from covid reduces with a vaccine.,Pro,6,NA,NA
40,1659976471038,08/08/2022 16:34:31,6895849,2,38,Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",2,For,I want to protect my family and be able to see them again,Pro,6,NA,NA
41,1659976475858,08/08/2022 16:34:35,6895849,2,39,Neither Agree nor Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",1,Against,"It was developed too quickly, I think they should have taken more time on it",Pro,4,NA,NA
42,1659976478680,08/08/2022 16:34:38,6895849,2,40,Somewhat Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",2,For,The vaccines are safe enough to use,Pro,5,NA,NA
43,1659976484468,08/08/2022 16:34:44,6895849,2,41,Somewhat Agree,statements,6,Rarely,Most days,34,Male,GCSEs,3,For,Alot of people have died from getting Covid and I want to keep my self safe and I trust it,Pro,5,NA,NA
44,1659976489087,08/08/2022 16:34:49,6895849,2,42,Somewhat Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",2,For,It will help to protect the most vulnerable groups in our society.,Pro,5,NA,NA
45,1659976496116,08/08/2022 16:34:56,6895849,2,43,Neither Agree nor Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",3,Against,I'm a healthy young adult and I'd rather they give my dose to someone else who is more vulnerable,Pro,4,NA,NA
46,1659976499886,08/08/2022 16:34:59,6895849,2,44,Agree,statements,3,Rarely,A few times a year,55,Female,A levels,1,For,I want to have it for my own and my familyâs protection,Pro,6,NA,NA
47,1659976504377,08/08/2022 16:35:04,6895849,2,45,Agree,statements,8,Most months,Most months,20,Male,A levels,3,For,To help end the negative social impact of the virus such as lockdowns and online education,Pro,6,NA,NA
48,1659976509692,08/08/2022 16:35:09,6895849,2,46,Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,Against,I am one of those idiots who thinks I will become magnetic or have trackers in me,Pro,2,NA,NA
49,1659976514525,08/08/2022 16:35:14,6895849,2,47,Somewhat Disagree,statements,8,Most months,Most months,20,Male,A levels,3,Against,I'm young and healthy so why should I get vaccinated?,Pro,3,NA,NA
50,1659976519022,08/08/2022 16:35:19,6895849,2,48,Neither Agree nor Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,Against,I believe that the vaccine is ineffective or rushed,Pro,4,NA,NA
51,1659976526589,08/08/2022 16:35:26,6895849,2,49,Somewhat Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",1,Against,They believe we have not had enough time to develop an effective vaccine.,Pro,3,NA,NA
52,1659976530290,08/08/2022 16:35:30,6895849,2,50,Agree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,For,It's one of the only ways we will return to normal life,Pro,6,NA,NA
53,1659976533938,08/08/2022 16:35:33,6895849,2,51,Agree,statements,6,Rarely,Most days,34,Male,GCSEs,1,For,I am scared and if this vaccine will help then I'll do it,Pro,6,NA,NA
54,1659976537778,08/08/2022 16:35:37,6895849,2,52,Somewhat Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,3,Against,Unless everyone has it then what is the point,Pro,3,NA,NA
55,1659976540784,08/08/2022 16:35:40,6895849,2,53,Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,Against,The government is trying to control us through this vaccine,Pro,2,NA,NA
56,1659976544085,08/08/2022 16:35:44,6895849,2,54,Somewhat Agree,statements,3,Rarely,A few times a year,55,Female,A levels,2,Against,Future side effects are unknown,Pro,5,NA,NA
57,1659976548534,08/08/2022 16:35:48,6895849,2,55,Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",3,Against,The vaccines don't work and will not be affective,Pro,2,NA,NA
59,1659976556372,08/08/2022 16:35:56,6895849,2,57,Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",1,For,Reduced risk of getting COVID.,Pro,6,NA,NA
60,1659976560284,08/08/2022 16:36:00,6895849,2,58,Neither Agree nor Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,Against,It's not qualified or tested enough,Pro,4,NA,NA
61,1659976564438,08/08/2022 16:36:04,6895849,2,59,Agree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,For,It's important to protect the people you love who are a higher risk than you,Pro,6,NA,NA
62,1659976567518,08/08/2022 16:36:07,6895849,2,60,Neither Agree nor Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",2,Against,The vaccines are not safe enough yet,Pro,4,NA,NA
63,1659976570739,08/08/2022 16:36:10,6895849,2,61,Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,Against,The covid 19 vaccines are a conspiracy,Pro,2,NA,NA
64,1659976579744,08/08/2022 16:36:19,6895849,2,62,Neither Agree nor Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",2,Against,"The outcomes of the virus are not significant for that person, therefore the risk of the vaccine is greater than the risk of covid 19 side effects",Pro,4,NA,NA
3,1659975771472,08/08/2022 16:22:51,6895758,2,1,Somewhat Disagree,statements,93,Most weeks,Most days,31,Male,"Undergraduate degree (BSc, BA)",3,Against,I am easily led by people in the media,Pro,3,NA,NA
4,1659975778060,08/08/2022 16:22:58,6895758,2,2,Agree,statements,93,Most weeks,Most days,31,Male,"Undergraduate degree (BSc, BA)",3,For,I want to be safe from this virus,Pro,6,NA,NA
5,1659975780308,08/08/2022 16:23:00,6895758,2,3,Strongly Disagree,statements,96,A few times a year,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,the vaccines are full of bad things,Pro,1,NA,NA
6,1659975782181,08/08/2022 16:23:02,6895758,2,4,Disagree,statements,94,Most weeks,Most weeks,38,Male,A levels,1,Against,Not been tested not enough time,Pro,2,NA,NA
7,1659975783957,08/08/2022 16:23:03,6895758,2,5,Disagree,statements,94,Most weeks,Most weeks,38,Male,A levels,3,Against,I have an immune system already,Pro,2,NA,NA
8,1659975791786,08/08/2022 16:23:11,6895758,2,6,Somewhat Agree,statements,96,A few times a year,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,because they trust science and not conspiracies,Pro,5,NA,NA
9,1659975796708,08/08/2022 16:23:16,6895758,2,7,Strongly Agree,statements,98,Rarely,A few times a year,54,Female,GCSEs,2,For,"By having the vaccination I am not only protecting myself but also people I come into contact with. Hopefully, the vaccine will stop the spread of the virus.",Pro,7,NA,NA
10,1659975799041,08/08/2022 16:23:19,6895758,2,8,Agree,statements,94,Most weeks,Most weeks,38,Male,A levels,3,For,So I don't catch it again,Pro,6,NA,NA
11,1659975802029,08/08/2022 16:23:22,6895758,2,9,Strongly Disagree,statements,95,Rarely,Most months,21,Male,A levels,1,Against,The vaccines use new MRNA tech and are therefore unsafe.,Pro,1,NA,NA
12,1659975803728,08/08/2022 16:23:23,6895758,2,10,Agree,statements,91,A few times a year,Most weeks,24,Male,"Postgraduate degree (MSc, MA, MPhil)",2,For,"I care about people and I don't want to die, vaccination is the only option.",Pro,6,NA,NA
