Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
46,1646420000000,04/03/2022 17:32,5946495,2,44,Agree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",6,Against,You need animal products for different vitamins and supplements,Anti,6,ANTI,768,228,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
54,1646420000000,04/03/2022 17:32,5946495,2,52,Strongly Agree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,5,Against,It is in human nature to hunt and eat meat.,Anti,7,ANTI,773,228,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
58,1646420000000,04/03/2022 17:33,5946495,2,56,Strongly Disagree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",6,Against,I dislike vegan people.,Anti,1,ANTI,750,228,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
59,1646420000000,04/03/2022 17:33,5946495,2,57,Somewhat Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",4,Against,I simply love the taste of meat,Anti,5,ANTI,778,228,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
60,1646420000000,04/03/2022 17:33,5946495,2,58,Somewhat Disagree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",5,Against,I have no idea how to substitute the nutrients gained from meat,Anti,3,ANTI,761,228,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
62,1646420000000,04/03/2022 17:33,5946495,2,60,Disagree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",6,Against,I dislike the taste of vegan alternatives,Anti,2,ANTI,762,228,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
63,1646420000000,04/03/2022 17:33,5946495,2,61,Agree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",6,Against,"A better protein rich diet, which can be good for several reasons.",Anti,6,ANTI,732,228,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
64,1646420000000,04/03/2022 17:33,5946495,2,62,Somewhat Agree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",4,Against,I enjoy consuming animal products.,Anti,5,ANTI,748,228,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
4,1646410000000,04/03/2022 17:26,5946562,2,2,Agree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",5,Against,I couldn't be dealing with the strict vegan way,Anti,6,ANTI,767,263,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
8,1646410000000,04/03/2022 17:26,5946562,2,6,Somewhat Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",4,Against,I would miss the taste of meat and meat-oriented dishes too much,Anti,5,ANTI,760,263,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
9,1646410000000,04/03/2022 17:26,5946562,2,7,Agree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",6,Against,You need animal products for different vitamins and supplements,Anti,6,ANTI,768,263,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
11,1646410000000,04/03/2022 17:26,5946562,2,9,Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",5,Against,I've learned to have a balanced diet.,Anti,6,ANTI,779,263,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
12,1646410000000,04/03/2022 17:26,5946562,2,10,Neither Agree nor Disagree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",5,Against,I don't want to take the time to eat at specific places or learn to prepare food in a specific way,Anti,4,ANTI,743,263,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
14,1646410000000,04/03/2022 17:26,5946562,2,12,Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",6,Against,I appreciate the diversity of flavors in my dishes.,Anti,6,ANTI,780,263,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
16,1646410000000,04/03/2022 17:27,5946562,2,14,Strongly Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",5,Against,I need protein for my diet.,Anti,7,ANTI,755,263,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
17,1646410000000,04/03/2022 17:27,5946562,2,15,Neither Agree nor Disagree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",5,Against,I do not believe that meat consumption is as big a factor of damage to the environment.,Anti,4,ANTI,749,263,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
18,1646410000000,04/03/2022 17:27,5946562,2,16,Neither Agree nor Disagree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",5,Against,"I don't care about where the meat comes from, killing animals for meat is just how the world functions",Anti,4,ANTI,731,263,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
19,1646410000000,04/03/2022 17:27,5946562,2,17,Somewhat Agree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",4,Against,"I like to consume meat, and would not go without it.",Anti,5,ANTI,730,263,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
20,1646410000000,04/03/2022 17:27,5946562,2,18,Neither Agree nor Disagree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",5,Against,Low variety of food diet,Anti,4,ANTI,737,263,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
21,1646410000000,04/03/2022 17:27,5946562,2,19,Agree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",4,Against,I enjoy consuming animal products.,Anti,6,ANTI,748,263,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
22,1646410000000,04/03/2022 17:27,5946562,2,20,Agree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,4,Against,You can't get all the nutrients from plants alone.,Anti,6,ANTI,772,263,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
24,1646410000000,04/03/2022 17:27,5946562,2,22,Disagree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",4,Against,Vegans are hippies and are probably putting worse into their bodies,Anti,2,ANTI,766,263,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
25,1646410000000,04/03/2022 17:27,5946562,2,23,Agree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,6,Against,Becoming vegan is not cheap and it is hard to eat out.,Anti,6,ANTI,774,263,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
27,1646410000000,04/03/2022 17:27,5946562,2,25,Agree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",5,Against,Not wanting to live that life and can be more expensive,Anti,6,ANTI,725,263,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
30,1646410000000,04/03/2022 17:28,5946562,2,28,Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",5,Against,I have no idea how to substitute the nutrients gained from meat,Anti,6,ANTI,761,263,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
31,1646410000000,04/03/2022 17:28,5946562,2,29,Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",4,Against,I simply love the taste of meat,Anti,6,ANTI,778,263,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
32,1646410000000,04/03/2022 17:28,5946562,2,30,Somewhat Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",6,Against,Animal products are more delicious.,Anti,5,ANTI,756,263,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
33,1646410000000,04/03/2022 17:28,5946562,2,31,Somewhat Agree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",4,Against,I dont like the vegetables,Anti,5,ANTI,736,263,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
42,1646410000000,04/03/2022 17:28,5946562,2,40,Agree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",6,Against,Low protein and other vitamins only obtainable from animals,Anti,6,ANTI,738,263,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
43,1646410000000,04/03/2022 17:28,5946562,2,41,Somewhat Agree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,5,Against,It is in human nature to hunt and eat meat.,Anti,5,ANTI,773,263,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
45,1646410000000,04/03/2022 17:29,5946562,2,43,Strongly Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",4,Against,I usually won't say as long as the topic comes up,Anti,7,ANTI,754,263,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
49,1646410000000,04/03/2022 17:29,5946562,2,47,Somewhat Agree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",4,Against,I cannot live without eating things that I like that including meat,Anti,5,ANTI,724,263,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
52,1646410000000,04/03/2022 17:29,5946562,2,50,Agree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",6,Against,"A better protein rich diet, which can be good for several reasons.",Anti,6,ANTI,732,263,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
55,1646410000000,04/03/2022 17:29,5946562,2,53,Strongly Agree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",4,Against,A vegan diet can be more expensive in the place where I live,Anti,7,ANTI,742,263,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
58,1646410000000,04/03/2022 17:29,5946562,2,56,Strongly Disagree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",6,Against,I dislike vegan people.,Anti,1,ANTI,750,263,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
62,1646420000000,04/03/2022 17:30,5946562,2,60,Agree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",6,Against,Dont like others substitutes of meat and fish,Anti,6,ANTI,726,263,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
63,1646420000000,04/03/2022 17:30,5946562,2,61,Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",6,Against,I dislike the taste of vegan alternatives,Anti,6,ANTI,762,263,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
64,1646420000000,04/03/2022 17:30,5946562,2,62,Agree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",6,Against,It might be too much of a hassle for too little or no gain,Anti,6,ANTI,744,263,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
3,1646410000000,04/03/2022 17:26,5946487,2,1,Strongly Agree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,6,Against,Becoming vegan is not cheap and it is hard to eat out.,Anti,7,ANTI,774,223,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
5,1646410000000,04/03/2022 17:27,5946487,2,3,Agree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",6,Against,You need animal products for different vitamins and supplements,Anti,6,ANTI,768,223,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
8,1646410000000,04/03/2022 17:27,5946487,2,6,Somewhat Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",5,Against,I've learned to have a balanced diet.,Anti,5,ANTI,779,223,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
11,1646410000000,04/03/2022 17:27,5946487,2,9,Somewhat Agree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",5,Against,Low variety of food diet,Anti,5,ANTI,737,223,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
19,1646410000000,04/03/2022 17:29,5946487,2,17,Neither Agree nor Disagree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",4,Against,Vegans are hippies and are probably putting worse into their bodies,Anti,4,ANTI,766,223,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
20,1646410000000,04/03/2022 17:29,5946487,2,18,Neither Agree nor Disagree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",5,Against,"I don't care about where the meat comes from, killing animals for meat is just how the world functions",Anti,4,ANTI,731,223,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
22,1646410000000,04/03/2022 17:29,5946487,2,20,Strongly Agree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",5,Against,I don't want to take the time to eat at specific places or learn to prepare food in a specific way,Anti,7,ANTI,743,223,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
24,1646410000000,04/03/2022 17:29,5946487,2,22,Agree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",4,Against,"I like to consume meat, and would not go without it.",Anti,6,ANTI,730,223,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
25,1646410000000,04/03/2022 17:29,5946487,2,23,Agree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",4,Against,I dont like the vegetables,Anti,6,ANTI,736,223,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
26,1646420000000,04/03/2022 17:30,5946487,2,24,Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",6,Against,Animal products are more delicious.,Anti,6,ANTI,756,223,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
27,1646420000000,04/03/2022 17:30,5946487,2,25,Somewhat Agree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,5,Against,It is in human nature to hunt and eat meat.,Anti,5,ANTI,773,223,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
28,1646420000000,04/03/2022 17:30,5946487,2,26,Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",6,Against,I appreciate the diversity of flavors in my dishes.,Anti,6,ANTI,780,223,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
31,1646420000000,04/03/2022 17:30,5946487,2,29,Agree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",5,Against,I do not believe that meat consumption is as big a factor of damage to the environment.,Anti,6,ANTI,749,223,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
33,1646420000000,04/03/2022 17:30,5946487,2,31,Neither Agree nor Disagree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",5,Against,I couldn't be dealing with the strict vegan way,Anti,4,ANTI,767,223,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
35,1646420000000,04/03/2022 17:31,5946487,2,33,Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",6,Against,I dislike the taste of vegan alternatives,Anti,6,ANTI,762,223,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
36,1646420000000,04/03/2022 17:31,5946487,2,34,Agree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",6,Against,"A better protein rich diet, which can be good for several reasons.",Anti,6,ANTI,732,223,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
39,1646420000000,04/03/2022 17:32,5946487,2,37,Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",4,Against,I would miss the taste of meat and meat-oriented dishes too much,Anti,6,ANTI,760,223,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
43,1646420000000,04/03/2022 17:32,5946487,2,41,Somewhat Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",4,Against,I usually won't say as long as the topic comes up,Anti,5,ANTI,754,223,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
45,1646420000000,04/03/2022 17:33,5946487,2,43,Strongly Agree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",4,Against,A vegan diet can be more expensive in the place where I live,Anti,7,ANTI,742,223,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
47,1646420000000,04/03/2022 17:33,5946487,2,45,Somewhat Agree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",5,Against,Not wanting to live that life and can be more expensive,Anti,5,ANTI,725,223,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
49,1646420000000,04/03/2022 17:33,5946487,2,47,Somewhat Agree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",4,Against,I enjoy consuming animal products.,Anti,5,ANTI,748,223,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
54,1646420000000,04/03/2022 17:34,5946487,2,52,Strongly Disagree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",6,Against,I dislike vegan people.,Anti,1,ANTI,750,223,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
55,1646420000000,04/03/2022 17:35,5946487,2,53,Neither Agree nor Disagree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",6,Against,Low protein and other vitamins only obtainable from animals,Anti,4,ANTI,738,223,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
57,1646420000000,04/03/2022 17:35,5946487,2,55,Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",5,Against,I have no idea how to substitute the nutrients gained from meat,Anti,6,ANTI,761,223,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
58,1646420000000,04/03/2022 17:35,5946487,2,56,Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",5,Against,I need protein for my diet.,Anti,6,ANTI,755,223,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
59,1646420000000,04/03/2022 17:35,5946487,2,57,Agree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",4,Against,I cannot live without eating things that I like that including meat,Anti,6,ANTI,724,223,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
60,1646420000000,04/03/2022 17:35,5946487,2,58,Agree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",6,Against,It might be too much of a hassle for too little or no gain,Anti,6,ANTI,744,223,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
61,1646420000000,04/03/2022 17:35,5946487,2,59,Strongly Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",4,Against,I simply love the taste of meat,Anti,7,ANTI,778,223,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
62,1646420000000,04/03/2022 17:36,5946487,2,60,Neither Agree nor Disagree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,4,Against,You can't get all the nutrients from plants alone.,Anti,4,ANTI,772,223,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
64,1646420000000,04/03/2022 17:36,5946487,2,62,Agree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",6,Against,Dont like others substitutes of meat and fish,Anti,6,ANTI,726,223,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
3,1646410000000,04/03/2022 17:27,5946556,2,1,Somewhat Agree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",5,Against,I don't want to take the time to eat at specific places or learn to prepare food in a specific way,Anti,5,ANTI,743,258,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
4,1646410000000,04/03/2022 17:28,5946556,2,2,Somewhat Disagree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",5,Against,I couldn't be dealing with the strict vegan way,Anti,3,ANTI,767,258,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
5,1646410000000,04/03/2022 17:28,5946556,2,3,Disagree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",6,Against,I dislike the taste of vegan alternatives,Anti,2,ANTI,762,258,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
10,1646410000000,04/03/2022 17:28,5946556,2,8,Somewhat Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",6,Against,Animal products are more delicious.,Anti,5,ANTI,756,258,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
14,1646410000000,04/03/2022 17:29,5946556,2,12,Somewhat Disagree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",4,Against,A vegan diet can be more expensive in the place where I live,Anti,3,ANTI,742,258,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
17,1646410000000,04/03/2022 17:29,5946556,2,15,Somewhat Disagree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",6,Against,Low protein and other vitamins only obtainable from animals,Anti,3,ANTI,738,258,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
18,1646410000000,04/03/2022 17:29,5946556,2,16,Somewhat Disagree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",6,Against,Dont like others substitutes of meat and fish,Anti,3,ANTI,726,258,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
20,1646410000000,04/03/2022 17:29,5946556,2,18,Somewhat Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",5,Against,I've learned to have a balanced diet.,Anti,5,ANTI,779,258,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
22,1646420000000,04/03/2022 17:30,5946556,2,20,Strongly Disagree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",4,Against,I dont like the vegetables,Anti,1,ANTI,736,258,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
